trade_id,message
BTCUSDT_2024-11-01 00:45:00,[BTC 5m 多头] 2024-11-01 00:45 开仓 @ 97.96，RR计划=2.00，持仓 95 分钟，结果: 止损 -1.78R (-89.23 USDT)
SOLUSDT_2024-11-01 00:45:00,[SOL 5m 空头] 2024-11-01 00:45 开仓 @ 103.90，RR计划=2.00，持仓 30 分钟，结果: 止盈 +2.87R (+137.21 USDT)
ETHUSDT_2024-11-01 00:50:00,[ETH 5m 空头] 2024-11-01 00:50 开仓 @ 100.90，RR计划=2.00，持仓 35 分钟，结果: 止盈 +2.72R (+131.67 USDT)
SOLUSDT_2024-11-01 03:45:00,[SOL 5m 空头] 2024-11-01 03:45 开仓 @ 111.87，RR计划=2.00，持仓 15 分钟，结果: 止损 -3.33R (-166.47 USDT)
BTCUSDT_2024-11-01 03:50:00,[BTC 5m 空头] 2024-11-01 03:50 开仓 @ 102.50，RR计划=2.00，持仓 25 分钟，结果: 止盈 +2.72R (+131.80 USDT)
ETHUSDT_2024-11-01 04:00:00,[ETH 5m 空头] 2024-11-01 04:00 开仓 @ 105.05，RR计划=2.00，持仓 15 分钟，结果: 止损 -1.46R (-72.99 USDT)
SOLUSDT_2024-11-01 06:50:00,[SOL 5m 空头] 2024-11-01 06:50 开仓 @ 117.29，RR计划=2.00，持仓 20 分钟，结果: 止损 -1.46R (-72.86 USDT)
ETHUSDT_2024-11-01 07:00:00,[ETH 5m 多头] 2024-11-01 07:00 开仓 @ 109.77，RR计划=2.00，持仓 15 分钟，结果: 止盈 +2.54R (+117.46 USDT)
BTCUSDT_2024-11-01 07:15:00,[BTC 5m 空头] 2024-11-01 07:15 开仓 @ 97.42，RR计划=2.00，持仓 45 分钟，结果: 止盈 +2.40R (+114.73 USDT)
SOLUSDT_2024-11-01 10:00:00,[SOL 5m 多头] 2024-11-01 10:00 开仓 @ 114.90，RR计划=2.00，持仓 10 分钟，结果: 止损 -1.34R (-66.97 USDT)
ETHUSDT_2024-11-01 10:10:00,[ETH 5m 多头] 2024-11-01 10:10 开仓 @ 109.66，RR计划=2.00，持仓 65 分钟，结果: 止盈 +2.51R (+123.69 USDT)
BTCUSDT_2024-11-01 10:30:00,[BTC 5m 空头] 2024-11-01 10:30 开仓 @ 96.18，RR计划=2.00，持仓 110 分钟，结果: 止盈 +2.04R (+96.31 USDT)
ETHUSDT_2024-11-01 13:10:00,[ETH 5m 空头] 2024-11-01 13:10 开仓 @ 122.66，RR计划=2.00，持仓 5 分钟，结果: 止损 -2.43R (-121.52 USDT)
BTCUSDT_2024-11-01 13:30:00,[BTC 5m 多头] 2024-11-01 13:30 开仓 @ 86.69，RR计划=2.00，持仓 5 分钟，结果: 止损 -1.29R (-64.33 USDT)
ETHUSDT_2024-11-02 00:00:00,[ETH 5m 空头] 2024-11-02 00:00 开仓 @ 117.20，RR计划=2.00，持仓 10 分钟，结果: 止损 -1.30R (-65.03 USDT)
BTCUSDT_2024-11-02 00:00:00,[BTC 5m 多头] 2024-11-02 00:00 开仓 @ 84.81，RR计划=2.00，持仓 25 分钟，结果: 止盈 +3.15R (+140.87 USDT)
ETHUSDT_2024-11-02 03:00:00,[ETH 5m 空头] 2024-11-02 03:00 开仓 @ 120.20，RR计划=2.00，持仓 25 分钟，结果: 止盈 +2.16R (+105.03 USDT)
BTCUSDT_2024-11-02 03:00:00,[BTC 5m 空头] 2024-11-02 03:00 开仓 @ 84.81，RR计划=2.00，持仓 15 分钟，结果: 止盈 +2.60R (+121.91 USDT)
ETHUSDT_2024-11-02 06:00:00,[ETH 5m 多头] 2024-11-02 06:00 开仓 @ 111.48，RR计划=2.00，持仓 25 分钟，结果: 止损 -1.35R (-67.38 USDT)
BTCUSDT_2024-11-02 06:30:00,[BTC 5m 空头] 2024-11-02 06:30 开仓 @ 82.96，RR计划=2.00，持仓 30 分钟，结果: 止损 -1.26R (-63.24 USDT)
